measurement_time	Y	X	Z
6716623328760913920	0.732727	0.510223	0.134552
6716623351008844800	0.733856	0.510132	0.134491
6716623373209530368	0.733948	0.510071	0.134583
6716623395624965120	0.735229	0.511993	0.134613
6716623418134888448	0.732849	0.510834	0.134613
6716623440687761408	0.732941	0.513031	0.13446
6716623462785368064	0.734344	0.514221	0.13446
6716623485273817088	0.732788	0.509888	0.134552
6716623507603352576	0.733582	0.509949	0.13443
6716623530431102976	0.732788	0.510284	0.134674
6716623552910962688	0.734406	0.514282	0.134338
6716623574600547328	0.733246	0.510101	0.134674
6716623596981621760	0.733124	0.510345	0.134613
6716623619852322816	0.733795	0.512512	0.134399
6716623641709411328	0.731873	0.508087	0.134735
6716623664253693952	0.734192	0.509796	0.13446
6716623686961186816	0.732483	0.509033	0.134399
6716623708758145024	0.73233	0.510101	0.134583
6716623731611666432	0.731049	0.509674	0.134491
6716623753627668480	0.733154	0.510315	0.134674
6716623776017333248	0.732513	0.509735	0.134521
6716623798411292672	0.730286	0.506348	0.134796
6716623820865381376	0.733002	0.510254	0.134552
6716623843568578560	0.733032	0.50882	0.13443
6716623865893819392	0.733582	0.512543	0.134552
6716623887772382208	0.73291	0.509796	0.134613
6716623910033198080	0.732971	0.511322	0.134583
6716623932440042496	0.734467	0.511292	0.13446
6716623954902721536	0.73175	0.50647	0.134735
6716623977008917504	0.733215	0.509583	0.134491
6716623999527431168	0.733551	0.513794	0.134369
6716624022050239488	0.734253	0.514191	0.13446
6716624044173616128	0.735657	0.513031	0.134613
6716624066739375104	0.733765	0.510345	0.134583
6716624088948651008	0.733704	0.512115	0.134552
6716624111170810880	0.733429	0.51355	0.134491
6716624133526116352	0.733948	0.510559	0.134583
6716624156031745024	0.733032	0.510529	0.134521
